timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T08:10:41.398264,0.7,0.04,0.006,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:44.411709,0.7,0.04,0.008,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:47.416972,0.7,0.04,0.01,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:50.435741,0.7,0.04,0.012,0.7393,12.4399,0.032357,57,281.2,174600
2026-03-27T08:10:53.480029,0.7,0.05,0.004,0.7396,12.3901,0.030596,57,284.9,174860
2026-03-27T08:10:56.597514,0.7,0.05,0.006,0.7396,12.3841,0.023174,57,284.7,175270
2026-03-27T08:10:59.602661,0.7,0.05,0.008,0.7389,12.4873,0.025669,57,282.2,175680
2026-03-27T08:11:02.605880,0.7,0.05,0.01,0.7394,12.4138,0.033404,57,282.9,176100
2026-03-27T08:11:05.654658,0.7,0.05,0.012,0.7402,12.3312,0.026582,51,104.0,176510
2026-03-27T08:11:08.694690,0.8,0.01,0.004,0.7387,12.5105,0.024086,61,303.0,176930
2026-03-27T08:11:11.731902,0.8,0.01,0.006,0.739,12.4594,0.033453,57,288.2,177350
2026-03-27T08:11:14.735893,0.8,0.01,0.008,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:17.738839,0.8,0.01,0.01,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:20.742147,0.8,0.01,0.012,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:23.745530,0.8,0.02,0.004,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:26.833055,0.8,0.02,0.006,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:29.836394,0.8,0.02,0.008,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:32.839827,0.8,0.02,0.01,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:35.843038,0.8,0.02,0.012,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:38.846483,0.8,0.03,0.004,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:41.849512,0.8,0.03,0.006,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:44.852558,0.8,0.03,0.008,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:47.857426,0.8,0.03,0.01,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:50.860853,0.8,0.03,0.012,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:53.864007,0.8,0.04,0.004,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:56.957917,0.8,0.04,0.006,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:11:59.961773,0.8,0.04,0.008,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:12:02.965111,0.8,0.04,0.01,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:12:05.968532,0.8,0.04,0.012,0.7385,12.5305,0.033129,56,284.8,177600
2026-03-27T08:12:08.971691,0.8,0.05,0.004,0.7385,12.5305,0.033129,56,284.8,177600
