
===================================================================
  P R O B E ΓÇö Stress-Response Forensics
===================================================================
  Probe A  cy 600-649:  Metabolic Injection (+mass)
  Probe B  cy 800:     Lattice Shear (top 25% rotated 90┬░)
  Probe C  cy 1100-1199: VRM Silence (omega locked 1.25)
  Probe D  cy 1400-1499: Vacuum Trap (10 particles at 10x accretion)
===================================================================

[CUDA] NVIDIA GeForce RTX 4090  SM 8.9  SMs: 128
[NVML] Idle: 41.1 W

  Power EMA: 41.1 W ΓÇö lattice re-initialized

  cyc  |  T+      |  omega  | speed range  | rho range          | enst       | part | p.mass   | M_total     | probe
  -----|----------|---------|-------------- |--------------------|------------|------|----------|-------------|------
  ** NEW GUARDIAN  T+0:00:00  cy0 b32  (0,8)  rho=1.00022  accreted=0.0048  total=1  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b33  (94,225)  rho=1.00022  accreted=0.0048  total=2  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b34  (31,191)  rho=1.00023  accreted=0.0048  total=3  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b35  (46,226)  rho=1.00023  accreted=0.0049  total=4  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b36  (9,242)  rho=1.00023  accreted=0.0049  total=5  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b37  (28,42)  rho=1.00023  accreted=0.0049  total=6  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b38  (170,33)  rho=1.00023  accreted=0.0049  total=7  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b39  (70,224)  rho=1.00023  accreted=0.0050  total=8  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b40  (90,45)  rho=1.00023  accreted=0.0050  total=9  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b41  (105,141)  rho=1.00023  accreted=0.0050  total=10  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b42  (41,127)  rho=1.00023  accreted=0.0051  total=11  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b43  (62,184)  rho=1.00024  accreted=0.0051  total=12  [---]
  ** NEW GUARDIAN  T+0:00:00  cy0 b44  (229,68)  rho=1.00024  accreted=0.0051  total=13  [---]
     0 | 0:00:00 | 1.9500 | 1.215002e-04 | [0.99994,1.00067] | 1.627e-10 |   13 |     0.07 |    65580.00 | ---
     1 | 0:00:01 | 1.2736 | 2.032233e-06 | [1.00067,1.00102] | 1.343e-11 |   13 |     0.09 |    65602.66 | ---
     2 | 0:00:02 | 1.2281 | 7.367635e-07 | [1.00102,1.00102] | 1.440e-11 |   13 |     0.11 |    65602.71 | ---
     3 | 0:00:03 | 1.2505 | 7.130875e-07 | [1.00102,1.00102] | 1.499e-11 |   13 |     0.14 |    65602.74 | ---
     4 | 0:00:03 | 1.2574 | 7.500785e-07 | [1.00102,1.00102] | 1.529e-11 |   13 |     0.16 |    65602.76 | ---
     5 | 0:00:04 | 1.2498 | 7.367635e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     0.18 |    65602.78 | ---
     6 | 0:00:05 | 1.2458 | 7.514755e-07 | [1.00102,1.00102] | 1.547e-11 |   13 |     0.21 |    65602.80 | ---
     7 | 0:00:06 | 1.2501 | 7.065391e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.23 |    65602.83 | ---
     8 | 0:00:06 | 1.2526 | 7.288618e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.25 |    65602.85 | ---
     9 | 0:00:07 | 1.2897 | 7.197086e-07 | [1.00102,1.00102] | 1.494e-11 |   13 |     0.27 |    65602.87 | ---
    10 | 0:00:08 | 1.2492 | 7.196504e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.30 |    65602.90 | ---
    11 | 0:00:09 | 1.2328 | 7.170311e-07 | [1.00102,1.00102] | 1.460e-11 |   13 |     0.32 |    65602.92 | ---
    12 | 0:00:10 | 1.2501 | 7.301860e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.34 |    65602.94 | ---
    13 | 0:00:10 | 1.2508 | 7.235940e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     0.37 |    65602.96 | ---
    14 | 0:00:11 | 1.2499 | 7.131457e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     0.39 |    65602.99 | ---
    15 | 0:00:12 | 1.2502 | 7.314811e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.41 |    65603.01 | ---
    16 | 0:00:13 | 1.2501 | 7.012131e-07 | [1.00102,1.00102] | 1.486e-11 |   13 |     0.43 |    65603.03 | ---
    17 | 0:00:13 | 1.2528 | 7.433555e-07 | [1.00102,1.00102] | 1.514e-11 |   13 |     0.46 |    65603.06 | ---
    18 | 0:00:14 | 1.2500 | 7.143681e-07 | [1.00102,1.00102] | 1.480e-11 |   13 |     0.48 |    65603.08 | ---
    19 | 0:00:15 | 1.2498 | 7.184135e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     0.50 |    65603.10 | ---
    20 | 0:00:16 | 1.2538 | 7.170165e-07 | [1.00102,1.00102] | 1.479e-11 |   13 |     0.53 |    65603.12 | ---
    21 | 0:00:16 | 1.2504 | 7.130875e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     0.55 |    65603.15 | ---
    22 | 0:00:17 | 1.2551 | 7.156632e-07 | [1.00102,1.00102] | 1.498e-11 |   13 |     0.57 |    65603.17 | ---
    23 | 0:00:18 | 1.2499 | 7.275376e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     0.59 |    65603.19 | ---
    24 | 0:00:19 | 1.2594 | 7.196941e-07 | [1.00102,1.00102] | 1.542e-11 |   13 |     0.62 |    65603.21 | ---
    25 | 0:00:20 | 1.2500 | 7.183262e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     0.64 |    65603.24 | ---
    26 | 0:00:20 | 1.2475 | 7.288763e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     0.66 |    65603.26 | ---
    27 | 0:00:21 | 1.2499 | 7.078634e-07 | [1.00102,1.00102] | 1.496e-11 |   13 |     0.68 |    65603.28 | ---
    28 | 0:00:22 | 1.2483 | 7.393537e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.71 |    65603.31 | ---
    29 | 0:00:23 | 1.2500 | 7.301860e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     0.73 |    65603.33 | ---
    30 | 0:00:23 | 1.2502 | 7.078343e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.75 |    65603.35 | ---
    31 | 0:00:24 | 1.2782 | 7.196795e-07 | [1.00102,1.00102] | 1.483e-11 |   13 |     0.78 |    65603.37 | ---
    32 | 0:00:25 | 1.2493 | 7.157505e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     0.80 |    65603.40 | ---
    33 | 0:00:26 | 1.2580 | 7.209892e-07 | [1.00102,1.00102] | 1.542e-11 |   13 |     0.82 |    65603.42 | ---
    34 | 0:00:27 | 1.2497 | 7.354392e-07 | [1.00102,1.00102] | 1.480e-11 |   13 |     0.84 |    65603.44 | ---
    35 | 0:00:27 | 1.2454 | 7.327908e-07 | [1.00102,1.00102] | 1.529e-11 |   13 |     0.87 |    65603.47 | ---
    36 | 0:00:28 | 1.2501 | 7.117924e-07 | [1.00102,1.00102] | 1.486e-11 |   13 |     0.89 |    65603.49 | ---
    37 | 0:00:29 | 1.2487 | 7.091730e-07 | [1.00102,1.00102] | 1.498e-11 |   13 |     0.91 |    65603.51 | ---
    38 | 0:00:30 | 1.2501 | 7.486378e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     0.94 |    65603.53 | ---
    39 | 0:00:30 | 1.2476 | 7.223280e-07 | [1.00102,1.00102] | 1.488e-11 |   13 |     0.96 |    65603.56 | ---
    40 | 0:00:31 | 1.2500 | 7.131312e-07 | [1.00102,1.00102] | 1.502e-11 |   13 |     0.98 |    65603.58 | ---
    41 | 0:00:32 | 1.2497 | 7.118069e-07 | [1.00102,1.00102] | 1.467e-11 |   13 |     1.00 |    65603.60 | ---
    42 | 0:00:33 | 1.2480 | 7.222989e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     1.03 |    65603.63 | ---
    43 | 0:00:33 | 1.2502 | 7.065100e-07 | [1.00102,1.00102] | 1.491e-11 |   13 |     1.05 |    65603.65 | ---
    44 | 0:00:34 | 1.2456 | 7.262861e-07 | [1.00102,1.00102] | 1.514e-11 |   13 |     1.07 |    65603.67 | ---
    45 | 0:00:35 | 1.2502 | 7.156923e-07 | [1.00102,1.00102] | 1.510e-11 |   13 |     1.10 |    65603.69 | ---
    46 | 0:00:36 | 1.2560 | 7.118069e-07 | [1.00102,1.00102] | 1.516e-11 |   13 |     1.12 |    65603.72 | ---
    47 | 0:00:37 | 1.2500 | 7.038761e-07 | [1.00102,1.00102] | 1.491e-11 |   13 |     1.14 |    65603.74 | ---
    48 | 0:00:37 | 1.2475 | 7.157214e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     1.16 |    65603.76 | ---
    49 | 0:00:38 | 1.2500 | 7.131021e-07 | [1.00102,1.00102] | 1.494e-11 |   13 |     1.19 |    65603.79 | ---
    50 | 0:00:39 | 1.2487 | 7.486378e-07 | [1.00102,1.00102] | 1.479e-11 |   13 |     1.21 |    65603.81 | ---
  [GHOST] Particle positions (first 20):
    #0  pos(  51.4, 213.0)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #1  pos( 145.5, 173.9)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #2  pos(  82.6, 139.8)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #3  pos(  97.7, 174.8)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #4  pos(  60.7, 190.7)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #5  pos(  79.8, 246.6)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #6  pos( 221.9, 237.6)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #7  pos( 121.9, 172.5)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #8  pos( 142.0, 249.4)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #9  pos( 157.1,  89.3)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #10  pos(  93.2,  75.3)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #11  pos( 114.2, 132.2)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    #12  pos(  25.3,  16.1)  mass=0.09  latent=1.994e-04  delta=+1.994e-04  PULSE
    51 | 0:00:40 | 1.2500 | 7.078197e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     1.23 |    65603.83 | ---
    52 | 0:00:40 | 1.2505 | 7.314957e-07 | [1.00102,1.00102] | 1.486e-11 |   13 |     1.26 |    65603.85 | ---
    53 | 0:00:41 | 1.2536 | 7.052295e-07 | [1.00102,1.00102] | 1.490e-11 |   13 |     1.28 |    65603.88 | ---
    54 | 0:00:42 | 1.2497 | 7.183262e-07 | [1.00102,1.00102] | 1.504e-11 |   13 |     1.30 |    65603.90 | ---
    55 | 0:00:43 | 1.2410 | 7.183262e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     1.32 |    65603.92 | ---
    56 | 0:00:44 | 1.2501 | 7.210037e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     1.35 |    65603.94 | ---
    57 | 0:00:44 | 1.2583 | 7.909257e-07 | [1.00102,1.00102] | 1.547e-11 |   13 |     1.37 |    65603.97 | ---
    58 | 0:00:45 | 1.2499 | 7.262424e-07 | [1.00102,1.00102] | 1.500e-11 |   13 |     1.39 |    65603.99 | ---
    59 | 0:00:46 | 1.2496 | 7.223425e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     1.41 |    65604.01 | ---
    60 | 0:00:47 | 1.2613 | 7.078488e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     1.44 |    65604.04 | ---
    61 | 0:00:48 | 1.2495 | 7.328199e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     1.46 |    65604.06 | ---
    62 | 0:00:48 | 1.2514 | 7.183262e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     1.48 |    65604.08 | ---
    63 | 0:00:49 | 1.2466 | 7.223134e-07 | [1.00102,1.00102] | 1.506e-11 |   13 |     1.51 |    65604.10 | ---
    64 | 0:00:50 | 1.2501 | 7.052149e-07 | [1.00102,1.00102] | 1.494e-11 |   13 |     1.53 |    65604.13 | ---
    65 | 0:00:51 | 1.2504 | 7.144408e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     1.55 |    65604.15 | ---
    66 | 0:00:52 | 1.2480 | 7.157360e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     1.57 |    65604.17 | ---
    67 | 0:00:53 | 1.2531 | 6.960472e-07 | [1.00102,1.00102] | 1.502e-11 |   13 |     1.60 |    65604.20 | ---
    68 | 0:00:53 | 1.2503 | 7.091730e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     1.62 |    65604.22 | ---
    69 | 0:00:54 | 1.2543 | 7.025374e-07 | [1.00102,1.00102] | 1.507e-11 |   13 |     1.64 |    65604.24 | ---
    70 | 0:00:55 | 1.2499 | 7.183844e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     1.67 |    65604.26 | ---
    71 | 0:00:56 | 1.2497 | 7.117196e-07 | [1.00102,1.00102] | 1.487e-11 |   13 |     1.69 |    65604.29 | ---
    72 | 0:00:57 | 1.2500 | 6.986375e-07 | [1.00102,1.00102] | 1.490e-11 |   13 |     1.71 |    65604.31 | ---
    73 | 0:00:57 | 1.2522 | 7.249473e-07 | [1.00102,1.00102] | 1.499e-11 |   13 |     1.73 |    65604.33 | ---
    74 | 0:00:58 | 1.2499 | 7.354392e-07 | [1.00102,1.00102] | 1.488e-11 |   13 |     1.76 |    65604.35 | ---
    75 | 0:00:59 | 1.2502 | 7.116905e-07 | [1.00102,1.00102] | 1.503e-11 |   13 |     1.78 |    65604.38 | ---
    76 | 0:01:00 | 1.2500 | 7.222261e-07 | [1.00102,1.00102] | 1.508e-11 |   13 |     1.80 |    65604.40 | ---
    77 | 0:01:00 | 1.2507 | 7.038616e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     1.82 |    65604.42 | ---
    78 | 0:01:01 | 1.2561 | 7.209892e-07 | [1.00102,1.00102] | 1.515e-11 |   13 |     1.85 |    65604.44 | ---
    79 | 0:01:02 | 1.2499 | 7.170165e-07 | [1.00102,1.00102] | 1.495e-11 |   13 |     1.87 |    65604.47 | ---
    80 | 0:01:03 | 1.2466 | 7.393683e-07 | [1.00102,1.00102] | 1.501e-11 |   13 |     1.89 |    65604.49 | ---
    81 | 0:01:04 | 1.2501 | 7.261988e-07 | [1.00102,1.00102] | 1.491e-11 |   13 |     1.91 |    65604.51 | ---
    82 | 0:01:04 | 1.2496 | 7.275230e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     1.94 |    65604.53 | ---
    83 | 0:01:05 | 1.2500 | 7.092021e-07 | [1.00102,1.00102] | 1.498e-11 |   13 |     1.96 |    65604.56 | ---
    84 | 0:01:06 | 1.2498 | 6.998889e-07 | [1.00102,1.00102] | 1.484e-11 |   13 |     1.98 |    65604.58 | ---
    85 | 0:01:07 | 1.2500 | 6.973278e-07 | [1.00102,1.00102] | 1.485e-11 |   13 |     2.00 |    65604.60 | ---
    86 | 0:01:07 | 1.2509 | 7.222989e-07 | [1.00102,1.00102] | 1.506e-11 |   13 |     2.03 |    65604.62 | ---
    87 | 0:01:08 | 1.2524 | 7.249328e-07 | [1.00102,1.00102] | 1.503e-11 |   13 |     2.05 |    65604.65 | ---
    88 | 0:01:09 | 1.2500 | 7.183990e-07 | [1.00102,1.00102] | 1.497e-11 |   13 |     2.07 |    65604.67 | ---
    89 | 0:01:10 | 1.2505 | 7.262279e-07 | [1.00102,1.00102] | 1.491e-11 |   13 |     2.09 |    65604.69 | ---
    90 | 0:01:11 | 1.2496 | 6.973423e-07 | [1.00102,1.00102] | 1.486e-11 |   13 |     2.12 |    65604.71 | ---
    91 | 0:01:12 | 1.2500 | 7.288472e-07 | [1.00102,1.00102] | 1.491e-11 |   13 |     2.14 |    65604.74 | ---
    92 | 0:01:13 | 1.2503 | 7.262133e-07 | [1.00102,1.00102] | 1.487e-11 |   13 |     2.16 |    65604.76 | ---
    93 | 0:01:13 | 1.2520 | 7.170456e-07 | [1.00102,1.00102] | 1.499e-11 |   13 |     2.18 |    65604.78 | ---
    94 | 0:01:14 | 1.2500 | 7.170893e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     2.21 |    65604.80 | ---
    95 | 0:01:15 | 1.2498 | 7.039052e-07 | [1.00102,1.00102] | 1.492e-11 |   13 |     2.23 |    65604.83 | ---
    96 | 0:01:16 | 1.2535 | 7.130875e-07 | [1.00102,1.00102] | 1.502e-11 |   13 |     2.25 |    65604.85 | ---
    97 | 0:01:17 | 1.2497 | 7.183407e-07 | [1.00102,1.00102] | 1.493e-11 |   13 |     2.27 |    65604.87 | ---
    98 | 0:01:17 | 1.2471 | 7.144408e-07 | [1.00102,1.00102] | 1.498e-11 |   13 |     2.30 |    65604.89 | ---
    99 | 0:01:18 | 1.2501 | 7.157942e-07 | [1.00102,1.00102] | 1.482e-11 |   13 |     2.32 |    65604.92 | ---
   100 | 0:01:19 | 1.2510 | 7.288327e-07 | [1.00102,1.00102] | 1.489e-11 |   13 |     2.34 |    65604.94 | ---
  [GHOST] Particle positions (first 20):
    #0  pos( 114.7, 150.1)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #1  pos( 208.8, 111.0)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #2  pos( 145.9,  77.0)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #3  pos( 160.9, 111.9)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #4  pos( 124.0, 127.8)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #5  pos( 143.1, 183.8)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #6  pos(  29.2, 174.7)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #7  pos( 185.2, 109.6)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #8  pos( 205.3, 186.6)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #9  pos( 220.4,  26.5)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #10  pos( 156.4,  12.4)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #11  pos( 177.5,  69.3)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
    #12  pos(  88.6, 209.3)  mass=0.18  latent=1.994e-04  delta=+1.994e-04  PULSE
   101 | 0:01:20 | 1.2500 | 7.091730e-07 | [1.00102,1.00102] | 1.499e-11 |   13 |     2.36 |    65604.96 | ---
   102 | 0:01:20 | 1.2497 | 1.268039e-06 | [1.00102,1.00112] | 7.780e-12 |   13 |     2.39 |    65611.91 | ---
   103 | 0:01:21 | 1.2476 | 1.664477e-06 | [1.00112,1.00117] | 7.154e-13 |   13 |     2.41 |    65614.82 | ---
   104 | 0:01:22 | 1.2503 | 4.736648e-08 | [1.00117,1.00117] | 7.433e-13 |   13 |     2.44 |    65614.85 | ---
   105 | 0:01:23 | 1.2535 | 4.998583e-08 | [1.00117,1.00117] | 7.556e-13 |   13 |     2.47 |    65614.87 | ---
   106 | 0:01:24 | 1.2500 | 4.998583e-08 | [1.00117,1.00117] | 7.280e-13 |   13 |     2.49 |    65614.90 | ---
   107 | 0:01:24 | 1.2502 | 4.736648e-08 | [1.00117,1.00117] | 7.343e-13 |   13 |     2.52 |    65614.93 | ---
   108 | 0:01:25 | 1.2500 | 4.473259e-08 | [1.00117,1.00117] | 7.239e-13 |   13 |     2.55 |    65614.95 | ---
   109 | 0:01:26 | 1.2497 | 4.998583e-08 | [1.00117,1.00117] | 7.590e-13 |   13 |     2.57 |    65614.98 | ---
   110 | 0:01:27 | 1.2500 | 4.998583e-08 | [1.00117,1.00117] | 7.233e-13 |   13 |     2.60 |    65615.01 | ---
   111 | 0:01:27 | 1.2503 | 4.473259e-08 | [1.00117,1.00117] | 7.188e-13 |   13 |     2.63 |    65615.03 | ---
   112 | 0:01:28 | 1.2482 | 4.998583e-08 | [1.00117,1.00117] | 5.256e-13 |   13 |     2.66 |    65615.06 | ---
   113 | 0:01:29 | 1.2499 | 4.998583e-08 | [1.00117,1.00117] | 7.172e-13 |   13 |     2.68 |    65615.09 | ---
   114 | 0:01:30 | 1.2497 | 4.998583e-08 | [1.00117,1.00117] | 7.467e-13 |   13 |     2.71 |    65615.12 | ---
   115 | 0:01:31 | 1.2491 | 4.604226e-08 | [1.00117,1.00117] | 7.456e-13 |   13 |     2.74 |    65615.14 | ---
   116 | 0:01:32 | 1.2499 | 4.998583e-08 | [1.00117,1.00117] | 7.328e-13 |   13 |     2.76 |    65615.17 | ---
   117 | 0:01:32 | 1.2493 | 4.998583e-08 | [1.00117,1.00117] | 7.103e-13 |   13 |     2.79 |    65615.20 | ---
   118 | 0:01:33 | 1.2528 | 4.604226e-08 | [1.00117,1.00117] | 7.506e-13 |   13 |     2.82 |    65615.22 | ---
   119 | 0:01:34 | 1.2501 | 4.998583e-08 | [1.00117,1.00117] | 7.649e-13 |   13 |     2.84 |    65615.25 | ---
   120 | 0:01:35 | 1.2495 | 4.998583e-08 | [1.00117,1.00117] | 7.170e-13 |   13 |     2.87 |    65615.28 | ---
   121 | 0:01:36 | 1.2561 | 4.735193e-08 | [1.00117,1.00117] | 7.183e-13 |   13 |     2.90 |    65615.30 | ---
   122 | 0:01:36 | 1.2501 | 4.867616e-08 | [1.00117,1.00117] | 7.384e-13 |   13 |     2.92 |    65615.33 | ---
   123 | 0:01:37 | 1.2549 | 4.998583e-08 | [1.00117,1.00117] | 7.245e-13 |   13 |     2.95 |    65615.36 | ---
   124 | 0:01:38 | 1.2501 | 4.997128e-08 | [1.00117,1.00117] | 7.239e-13 |   13 |     2.98 |    65615.38 | ---
   125 | 0:01:39 | 1.2456 | 5.000038e-08 | [1.00117,1.00117] | 2.783e-12 |   13 |     3.00 |    65615.41 | ---
   126 | 0:01:40 | 1.2501 | 4.869071e-08 | [1.00117,1.00117] | 7.155e-13 |   13 |     3.03 |    65615.44 | ---
   127 | 0:01:40 | 1.2474 | 4.998583e-08 | [1.00117,1.00117] | 2.745e-12 |   13 |     3.06 |    65615.46 | ---
   128 | 0:01:41 | 1.2502 | 5.392940e-08 | [1.00117,1.00117] | 7.130e-13 |   13 |     3.08 |    65615.49 | ---
   129 | 0:01:42 | 1.2501 | 4.998583e-08 | [1.00117,1.00117] | 7.673e-13 |   13 |     3.11 |    65615.52 | ---
   130 | 0:01:43 | 1.2500 | 4.998583e-08 | [1.00117,1.00117] | 6.599e-13 |   13 |     3.14 |    65615.54 | ---
   131 | 0:01:43 | 1.2504 | 4.604226e-08 | [1.00117,1.00117] | 7.370e-13 |   13 |     3.16 |    65615.57 | ---
   132 | 0:01:44 | 1.2500 | 4.473259e-08 | [1.00117,1.00117] | 7.444e-13 |   13 |     3.19 |    65615.60 | ---
   133 | 0:01:45 | 1.2495 | 4.998583e-08 | [1.00117,1.00117] | 6.952e-13 |   13 |     3.22 |    65615.62 | ---
   134 | 0:01:46 | 1.2538 | 4.998583e-08 | [1.00117,1.00117] | 7.469e-13 |   13 |     3.24 |    65615.65 | ---
   135 | 0:01:47 | 1.2503 | 4.867616e-08 | [1.00117,1.00117] | 7.448e-13 |   13 |     3.27 |    65615.68 | ---
   136 | 0:01:47 | 1.2408 | 4.998583e-08 | [1.00117,1.00117] | 2.767e-12 |   13 |     3.30 |    65615.70 | ---
   137 | 0:01:48 | 1.2503 | 5.131005e-08 | [1.00117,1.00117] | 7.261e-13 |   13 |     3.32 |    65615.73 | ---
   138 | 0:01:49 | 1.2478 | 4.998583e-08 | [1.00117,1.00117] | 5.098e-13 |   13 |     3.35 |    65615.76 | ---
   139 | 0:01:50 | 1.2622 | 4.604226e-08 | [1.00117,1.00117] | 7.222e-13 |   13 |     3.38 |    65615.78 | ---
   140 | 0:01:51 | 1.2502 | 5.131005e-08 | [1.00117,1.00117] | 7.400e-13 |   13 |     3.40 |    65615.81 | ---
   141 | 0:01:51 | 1.2518 | 5.000038e-08 | [1.00117,1.00117] | 7.660e-13 |   13 |     3.43 |    65615.83 | ---
   142 | 0:01:52 | 1.2528 | 4.998583e-08 | [1.00117,1.00117] | 7.010e-13 |   13 |     3.45 |    65615.86 | ---
   143 | 0:01:53 | 1.2499 | 4.998583e-08 | [1.00117,1.00117] | 7.283e-13 |   13 |     3.48 |    65615.89 | ---
   144 | 0:01:54 | 1.2497 | 4.998583e-08 | [1.00117,1.00117] | 7.226e-13 |   13 |     3.51 |    65615.91 | ---
   145 | 0:01:55 | 1.2506 | 4.473259e-08 | [1.00117,1.00117] | 7.275e-13 |   13 |     3.53 |    65615.94 | ---
   146 | 0:01:56 | 1.2295 | 4.998583e-08 | [1.00117,1.00117] | 2.843e-12 |   13 |     3.56 |    65615.96 | ---
   147 | 0:01:57 | 1.2500 | 4.998583e-08 | [1.00117,1.00117] | 7.565e-13 |   13 |     3.58 |    65615.99 | ---
   148 | 0:01:57 | 1.2507 | 4.998583e-08 | [1.00117,1.00117] | 7.689e-13 |   13 |     3.61 |    65616.02 | ---
   149 | 0:01:58 | 1.2477 | 4.998583e-08 | [1.00117,1.00117] | 2.758e-12 |   13 |     3.64 |    65616.04 | ---
   150 | 0:01:59 | 1.2650 | 4.473259e-08 | [1.00117,1.00117] | 7.225e-13 |   13 |     3.66 |    65616.07 | ---
  [GHOST] Particle positions (first 20):
    #0  pos( 178.0,  86.9)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #1  pos(  16.0,  47.8)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #2  pos( 209.1,  13.8)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #3  pos( 224.2,  48.7)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #4  pos( 187.3,  64.6)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #5  pos( 206.3, 120.6)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #6  pos(  92.4, 111.5)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #7  pos( 248.5,  46.4)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #8  pos(  12.5, 123.3)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #9  pos(  27.6, 219.3)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #10  pos( 219.7, 205.2)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #11  pos( 240.7,   6.1)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
    #12  pos( 151.8, 146.1)  mass=0.28  latent=1.993e-04  delta=+1.993e-04  PULSE
   151 | 0:02:00 | 1.2500 | 4.604226e-08 | [1.00117,1.00117] | 7.194e-13 |   13 |     3.69 |    65616.09 | ---
   152 | 0:02:01 | 1.2500 | 4.867616e-08 | [1.00117,1.00117] | 7.450e-13 |   13 |     3.71 |    65616.12 | ---
   153 | 0:02:02 | 1.2489 | 4.998583e-08 | [1.00117,1.00117] | 6.810e-13 |   13 |     3.74 |    65616.15 | ---
