sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1f,omega,1.958,0.686151,0.684900,0.687700,30.225546,0.025803,0.002349,-0.000535,0.000491,-0.000159,501
1f,omega,1.958,0.686236,0.684600,0.688000,30.210800,0.026203,0.002360,-0.000532,0.000499,-0.000166,501
1f,omega,1.959,0.686176,0.684700,0.687600,30.238758,0.025951,0.002353,-0.000533,0.000493,-0.000160,501
1f,omega,1.959,0.686242,0.684400,0.687800,30.227245,0.026313,0.002363,-0.000531,0.000498,-0.000169,501
1f,omega,1.96,0.686197,0.684600,0.687700,30.252294,0.026091,0.002357,-0.000531,0.000495,-0.000162,501
1f,omega,1.96,0.686262,0.684600,0.687900,30.241939,0.026426,0.002367,-0.000530,0.000500,-0.000173,501
1f,omega,1.961,0.686224,0.684800,0.687700,30.265737,0.026234,0.002360,-0.000530,0.000497,-0.000165,501
1f,omega,1.961,0.686273,0.684600,0.687800,30.258330,0.026539,0.002370,-0.000530,0.000500,-0.000175,501
1f,omega,1.962,0.686243,0.684700,0.687700,30.279455,0.026385,0.002365,-0.000530,0.000500,-0.000169,501
1f,omega,1.962,0.686272,0.684500,0.687900,30.275847,0.026665,0.002373,-0.000529,0.000500,-0.000178,501
1f,omega,1.963,0.686251,0.684700,0.687700,30.295999,0.026528,0.002369,-0.000530,0.000501,-0.000173,501
1f,omega,1.963,0.686266,0.684300,0.687700,30.295201,0.026783,0.002377,-0.000528,0.000502,-0.000179,501
1f,omega,1.964,0.686252,0.684600,0.687800,30.314618,0.026671,0.002373,-0.000529,0.000503,-0.000176,501
1f,omega,1.964,0.686253,0.684400,0.687700,30.316305,0.026905,0.002380,-0.000526,0.000504,-0.000180,501
1f,omega,1.965,0.686245,0.684500,0.687600,30.334905,0.026813,0.002377,-0.000527,0.000505,-0.000180,501
1f,omega,1.965,0.686239,0.684100,0.687700,30.337699,0.027027,0.002384,-0.000523,0.000507,-0.000182,501
1f,omega,1.966,0.686209,0.684400,0.687600,30.359139,0.026959,0.002382,-0.000525,0.000507,-0.000183,501
1f,omega,1.966,0.686200,0.684300,0.687700,30.362896,0.027150,0.002387,-0.000522,0.000509,-0.000185,501
1f,omega,1.967,0.686188,0.684400,0.687600,30.382594,0.027120,0.002386,-0.000524,0.000508,-0.000186,501
1f,omega,1.967,0.686173,0.684300,0.687600,30.387073,0.027276,0.002390,-0.000520,0.000511,-0.000187,501
1f,omega,1.968,0.686142,0.684200,0.687600,30.409862,0.027285,0.002391,-0.000524,0.000510,-0.000189,501
1f,omega,1.968,0.686126,0.684200,0.687600,30.414840,0.027399,0.002394,-0.000517,0.000513,-0.000189,501
1f,omega,1.969,0.686083,0.684200,0.687500,30.440496,0.027455,0.002396,-0.000522,0.000513,-0.000192,501
1f,omega,1.969,0.686066,0.684100,0.687500,30.445587,0.027521,0.002397,-0.000515,0.000515,-0.000190,501
1f,omega,1.97,0.686006,0.684100,0.687400,30.474195,0.027635,0.002401,-0.000518,0.000515,-0.000195,501
1f,omega,1.97,0.685995,0.684000,0.687400,30.478027,0.027653,0.002401,-0.000511,0.000516,-0.000191,501
1f,omega,1.971,0.685922,0.683900,0.687400,30.509437,0.027816,0.002406,-0.000515,0.000519,-0.000199,501
1f,omega,1.971,0.685912,0.683900,0.687400,30.512527,0.027786,0.002405,-0.000511,0.000518,-0.000192,501
1f,omega,1.972,0.685822,0.683800,0.687300,30.547334,0.028005,0.002412,-0.000514,0.000522,-0.000202,501
1f,omega,1.972,0.685827,0.683800,0.687300,30.547630,0.027917,0.002409,-0.000509,0.000520,-0.000194,501
1f,omega,1.973,0.685722,0.683700,0.687200,30.587288,0.028200,0.002418,-0.000511,0.000524,-0.000207,501
1f,omega,1.973,0.685740,0.683700,0.687200,30.585052,0.028061,0.002413,-0.000507,0.000523,-0.000197,501
1f,omega,1.974,0.685601,0.683400,0.687300,30.629374,0.028401,0.002425,-0.000508,0.000528,-0.000210,501
1f,omega,1.974,0.685637,0.683500,0.687100,30.623827,0.028210,0.002418,-0.000506,0.000525,-0.000201,501
1f,omega,1.975,0.685479,0.683000,0.687300,30.672576,0.028616,0.002431,-0.000505,0.000531,-0.000213,501
